MQ2,MQ6,MQ7,MQ9,target
1.21,5.08,0.01,4.74,0
1.81,5.38,0.17,5.64,0
1.15,4.73,0.01,0.89,0
1.44,3.64,0.01,3.99,0
4.91,0.89,0.0,1.51,0
3.51,5.08,0.03,3.85,0
1.13,6.17,0.01,4.96,0
3.84,0.58,0.0,1.51,0
2.4,2.44,0.02,1.21,0
0.7,2.72,0.01,3.99,0
0.7,2.49,0.01,3.99,0
3.26,1.68,0.02,1.51,0
1.59,0.14,0.0,0.89,0
0.59,2.27,0.01,3.99,0
0.05,1.39,0.017672551,3.28,0
0.87,2.33,0.01,3.56,0
0.12,0.1,0.03,8.56,0
3.1,2.79,3.75e-05,0.71,0
0.63,2.49,0.01,3.99,0
1.67,0.2,0.01,0.71,0
1.13,5.9,0.01,4.96,0
0.97,3.13,0.01,3.28,0
4.06,0.62,0.02,0.46,0
1.4,2.33,0.09,3.85,0
0.43,1.02,0.01,3.28,0
1.32,4.37,0.1,3.99,0
1.16,3.88,0.01,3.99,0
0.11,1.39,0.074038411,3.56,0
1.23,0.14,0.0,0.89,0
3.5,3.16,0.732082052,0.95,0
3.18,2.88,0.07,1.21,0
1.64,5.08,0.02,3.56,0
1.05,6.44,0.01,4.96,0
3.74,0.62,0.02,0.46,0
1.49,3.13,0.02,3.56,0
1.05,1.52,0.0,0.58,0
6.79,2.78,0.0,2.15,0
1.48,0.14,0.0,0.89,0
2.37,3.35,0.02,1.21,0
1.2,4.13,0.02,3.99,0
1.02,5.64,0.02,4.96,0
6.13,1.37,0.0,1.51,0
1.83,0.19,0.0,0.89,0
0.07,1.39,0.0083,3.56,0
7.49,0.56,0.0,2.39,0
0.82,2.93,0.01,3.56,0
2.64,4.09,0.03,1.21,0
2.23,3.87,0.04,5.88,0
1.32,4.37,0.08,3.99,0
3.06,1.02,0.02,1.19,0
3.74,1.73,0.02,0.95,0
1.36,3.64,0.01,3.99,0
1.48,1.52,0.01,0.95,0
5.16,2.19,0.11,1.21,0
7.49,0.56,0.0,2.15,0
0.16,0.04,0.01,1.01,0
3.28,1.25,0.03,1.73,0
0.49,2.72,0.01,3.99,0
1.62,1.73,0.02,0.95,0
1.4,3.88,0.04,3.99,0
1.43,2.14,0.1,3.85,0
2.7,2.11,0.52,0.46,0
1.32,4.37,0.03,3.99,0
0.21,2.14,0.0,3.28,0
0.07,0.08,0.0,0.0,0
1.02,2.49,0.01,3.99,0
1.05,5.9,0.01,4.96,0
1.29,5.08,0.01,4.74,0
1.52,4.37,0.08,4.96,0
0.48,1.57,0.0,3.28,0
0.41,0.67,0.0,3.01,0
1.07,3.13,0.01,3.56,0
3.11,1.84,0.02,1.51,0
3.86,3.26,0.03,0.46,0
2.48,4.87,0.11,4.31,0
0.07,0.5,0.01,3.01,0
1.26,5.31,0.01,4.74,0
1.41,0.14,0.0,0.89,0
1.55,0.33,0.01,0.71,0
0.63,0.09,0.0,0.89,0
2.7,1.52,0.03,0.46,0
5.7,1.23,0.0,1.83,0
1.55,0.14,0.0,0.89,0
0.06,0.1,0.03,8.56,0
3.42,0.46,0.0,1.51,0
3.5,0.67,0.02,0.46,0
2.97,1.95,0.07,1.21,0
1.55,5.78,0.01,4.74,0
3.18,4.37,0.06,3.99,0
0.75,2.33,0.0,3.28,0
3.66,0.47,0.08,0.95,0
2.33,6.51,0.02,1.27,0
2.2,0.19,0.04,4.31,0
1.63,0.14,0.0,1.19,0
1.95,2.09,0.0,0.89,0
1.4,3.88,0.04,3.99,0
1.58,3.87,0.01,0.95,0
2.07,3.71,0.04,5.88,0
2.41,0.52,0.01,1.19,0
1.32,3.88,0.12,5.3,0
1.13,1.76,0.01,3.28,0
1.46,1.32,0.01,0.95,0
1.13,5.9,0.01,4.96,0
2.11,4.62,0.07,4.96,0
1.51,1.59,0.01,0.95,0
1.0,2.33,0.02,3.56,0
2.11,0.52,0.01,1.19,0
0.11,0.85,0.0,3.01,0
2.97,3.06,0.01,0.71,0
2.28,3.16,0.02,1.21,0
2.08,3.97,0.03,4.14,0
0.13,1.39,0.166574486,3.56,0
1.85,4.37,0.05,3.99,0
0.33,0.85,0.0,3.01,0
0.7,3.55,0.01,3.28,0
0.52,2.73,0.0,3.28,0
0.19,0.85,0.01,3.28,0
1.6,4.09,0.01,0.95,0
1.98,4.63,0.01,3.28,0
0.82,2.93,0.01,3.28,0
3.38,1.11,0.01,9.05,0
1.67,2.97,0.01,0.95,0
4.91,0.89,0.0,1.83,0
1.28,0.29,0.01,0.46,0
1.09,6.44,0.01,4.96,0
0.82,1.95,0.0,3.28,0
1.26,4.41,0.01,4.74,0
0.61,3.34,0.01,3.56,0
0.39,2.53,0.0,3.28,0
4.97,3.35,0.624830751,0.71,0
1.64,5.78,0.01,4.74,0
1.43,5.55,0.01,4.74,0
4.06,1.32,0.04,1.21,0
5.52,2.52,0.1,1.21,0
0.71,0.85,0.02,6.01,0
0.63,4.37,0.018224728,4.31,0
3.54,1.38,0.02,0.71,0
0.44,1.99,0.09,4.5,0
1.0,2.33,0.0,3.28,0
3.96,1.45,0.02,1.19,0
4.77,1.88,0.01,0.46,0
2.45,7.43,0.02,1.27,0
0.68,1.39,0.01,3.28,0
0.75,2.73,0.01,3.28,0
0.09,1.39,0.0868896,3.56,0
1.07,2.93,0.0,3.01,0
0.66,0.09,0.0,0.89,0
0.66,2.49,0.01,3.99,0
0.92,2.93,0.01,3.56,0
0.74,0.85,0.02,5.65,0
1.6,2.27,0.01,0.95,0
1.35,0.24,0.01,0.46,0
1.62,2.27,0.01,0.95,0
0.15,0.85,0.0,3.01,0
0.37,2.33,0.0,3.28,0
6.13,2.19,0.1,1.21,0
1.44,4.37,0.08,5.3,0
1.05,6.44,0.01,4.96,0
0.53,2.72,0.01,3.99,0
2.77,1.73,0.06,0.46,0
3.06,2.09,0.02,1.51,0
1.32,6.17,0.23,4.31,0
1.35,5.31,0.01,4.74,0
3.25,2.97,0.677841547,0.71,0
0.09,0.85,0.0,3.01,0
2.0,2.7,0.02,1.21,0
5.06,3.66,0.601208807,0.71,0
3.9,2.73,0.0,1.83,0
0.05,1.39,0.019968305,3.28,0
4.5,2.61,0.02,0.71,0
0.63,0.09,0.0,0.89,0
1.98,3.34,0.0,3.01,0
3.21,5.55,0.08,0.95,0
0.97,2.53,0.01,3.28,0
0.56,1.95,0.0,3.28,0
1.76,4.13,0.06,3.99,0
1.79,1.2,0.01,3.28,0
0.7,1.95,0.005978061,3.85,0
3.9,3.26,0.03,0.46,0
6.67,4.19,0.06,0.02,0
3.63,0.52,0.0,1.51,0
1.93,4.13,0.12,3.99,0
0.04,0.0,0.01,1.01,0
1.24,4.87,0.17,5.3,0
1.52,5.78,0.01,4.74,0
1.02,2.53,0.01,3.56,0
1.58,6.02,0.01,4.74,0
1.76,6.27,0.01,4.74,0
4.01,0.58,0.0,1.51,0
2.0,2.35,0.01,0.95,0
1.98,4.13,0.1,3.99,0
4.91,0.89,0.0,1.51,0
1.2,6.17,0.01,4.96,0
1.2,3.88,0.06,3.99,0
2.33,6.36,0.02,1.27,0
0.8,6.71,0.01,4.96,0
0.07,0.5,0.01,3.01,0
1.16,3.64,0.01,3.99,0
0.7,4.62,0.02493286,4.63,0
2.74,3.87,0.02,1.21,0
1.44,4.13,0.13,5.3,0
1.68,5.38,0.15,5.64,0
1.02,2.73,0.01,3.28,0
4.84,0.89,0.0,1.51,0
0.17,0.85,0.0,3.01,0
1.32,4.62,0.01,4.96,0
1.32,4.86,0.01,4.74,0
2.39,5.38,0.08,4.96,0
4.21,2.36,0.02,1.01,0
4.1,2.88,0.02,0.46,0
1.02,6.71,0.01,4.96,0
2.11,0.52,0.01,1.19,0
4.82,3.45,0.758724263,0.71,0
4.13,0.58,0.0,1.51,0
2.06,2.35,0.01,0.95,0
1.76,4.13,0.11,5.3,0
0.98,5.64,0.018802198,4.63,0
1.56,3.64,0.12,3.99,0
1.23,0.14,0.0,0.89,0
1.95,2.19,0.03,1.21,0
0.8,6.71,0.01,4.96,0
1.13,3.34,0.01,3.56,0
1.23,5.31,0.01,4.74,0
1.76,5.38,0.07,4.96,0
0.92,3.34,0.01,3.56,0
1.49,6.02,0.01,4.74,0
0.95,0.09,0.0,0.89,0
0.97,2.33,0.01,3.56,0
2.23,3.87,0.04,5.88,0
4.1,2.7,0.02,0.46,0
2.55,4.86,0.0,0.89,0
0.19,0.67,0.0,3.01,0
0.59,2.27,0.01,3.99,0
1.07,2.33,0.01,3.56,0
2.87,0.89,0.02,1.19,0
1.37,5.08,0.01,4.74,0
0.48,1.02,0.01,3.28,0
1.23,0.14,0.0,0.89,0
